qlet	Birt`h order (within pregnancy)
se100	C1a: Degree to which child had temper tantrums in past school year
se100a	DV: Child had temper tantrums in past school year
se101	C1b: Degree to which child argued a lot with adults in past school year
se101a	DV: Child argued a lot with adults in past school year
se102	C1c: Degree to which child was disobedient at school in past school year
se102a	DV: Child was disobedient at school in past school year
se103	C1d: Degree to which child deliberately annoyed people in past school year
se103a	DV: Child deliberately annoyed people in past school year
se104	C1e: Degree to which child blamed others for own mistakes in past school year
se104a	DV: Child blamed others for own mistakes in past school year
se105	C1f: Degree to which child was easily annoyed by others in past school year
se105a	DV: Child was easily annoyed by others in past school year
se106	C1g: Degree to which child was angry & resentful in past school year
se106a	DV: Child was angry & resentful in past school year
se107	C1h: Degree to which child was spiteful in past school year
se107a	DV: Child was spiteful in past school year
se108	C1i: Degree to which child tried to get revenge in past school year
se108a	DV: Child tried to get revenge in past school year
se109	C1j: Degree to which child lied/cheated in past school year
se109a	DV: Child lied/cheated in past school year
se110	C1k: Degree to which child started fights in past school year
se110a	DV: Child started fights in past school year
se111	C1l: Degree to which child bullied others in past school year
se111a	DV: Child bullied others in past school year
se112	C1m: Degree to which child played truant in past school year
se112a	DV: Child played truant in past school year
se113	C1n: Degree to which child used weapons when fighting in past school year
se113a	DV: Child used weapons when fighting in past school year
se114	C1o: Degree to which child was physically cruel in past school year
se114a	DV: Child was physically cruel in past school year
se115	C1p: Degree to which child was deliberately cruel to animals in past school year
se115a	DV: Child was deliberately cruel to animals in past school year
se116	C1q: Degree to which child set fire deliberately in past school year
se116a	DV: Child set fire deliberately in past school year
se117	C1r: Degree to which child stole things in past school year
se117a	DV: Child stole things in past school year
se118	C1s: Degree to which child vandalised property in past school year
se118a	DV: Child vandalised property in past school year
se119	C1t: Degree to which child showed unwanted sexual behaviour in past school year
se119a	DV: Child showed unwanted sexual behaviour in past school year
se120	C1u: Degree to which child was in trouble with the law in past school year
se120a	DV: Child was in trouble with the law in past school year
se140	A1: Degree to which child was considerate of other people's feelings in past 6 months
se141	A2: Degree to which child was restless/overactive in past 6 months
se142	A3: Degree to which child often complained of headaches/sickness in past 6 months
se143	A4: Degree to which child shared readily with other children in past 6 months
se144	A5: Degree to which child was rather solitary in past 6 months
se145	A6: Degree to which child was generally obedient in past 6 months
se146	A7: Degree to which child had many worries in past 6 months
se147	A8: Degree to which child was helpful if someone was hurt/upset/ill in past 6 months
se148	A9: Degree to which child constantly fidgeted in past 6 months
se149	A10: Degree to which child had at least 1 good friend in past 6 months
se150	A11: Degree to which child often fought with or bullied children in past 6 months
se151	A12: Degree to which child was often unhappy/tearful in past 6 months
se152	A13: Degree to which child was generally liked by peers in past 6 months
se153	A14: Degree to which child was nervous/clingy in new situations in past 6 months
se154	A15: Degree to which child was kind to younger children in past 6 months
se155	A16: Degree to which child was bullied by other children in past 6 months
se156	A17: Degree to which child often volunteered to help others in past 6 months
se157	A18: Degree to which child thought things out before acting in past 6 months
se158	A19: Degree to which child got on better with adults than peers in past 6 months
se159	A20: Degree to which child had many fears in past 6 months
se160	A21: Degree to which child saw tasks through to the end in past 6 months
se161a	DV: SDQ prosocial score (complete cases)
se161b	DV: SDQ prosocial score (prorated)
se161c	DV: 
se162a	DV: SDQ hyperactivity score (complete cases)
se162b	DV: SDQ hyperactivity score (prorated)
se162c	DV: 
se163a	DV: SDQ emotional symptoms score (complete cases)
se163b	DV: SDQ emotional symptoms score (prorated)
se163c	DV: 
se164a	DV: SDQ conduct problems score (complete cases)
se164b	DV: SDQ conduct problems score (prorated)
se164c	DV: 
se165a	DV: SDQ peer problems score (complete cases)
se165b	DV: SDQ peer problems score (prorated)
se165c	DV: 
se166a	DV: SDQ total difficulties score (complete cases)
se166b	DV: SDQ total difficulties score (prorated)
se166c	DV: 
se170	A22: Other comment about child's behaviour in past 6 months
se180	A23: Degree of emotional/attentional/behavioural difficulties child has
se181	A23a: Duration of child's emotional/attentional/behavioural difficulties
se182	A23b: Degree to which child's emotional/attentional/behavioural difficulties upset child
se183	A23c1: Degree to which child's emotional/attentional/behavioural difficulties interfere with peer relationships
se184	A23c2: Degree to which child's emotional/attentional/behavioural difficulties interfere with own learning
se185	A23d: Degree to which child's emotional/attentional/behavioural difficulties burden the teacher/class
se186a	DV: Burden of emotional/attentional/behavioural difficulties
se186b	DV: Any burden of emotional/attentional/behavioural difficulties
se186c	DV: 
se195	E1: Length of time teacher has taught child
se196a	E2mm: Date of completion - month
se196b	E2yy: Date of completion - year
se196c	Assumptions made in cleaning date of completion
se197a	DV: Age of child at completion in months
se197b	DV: Age of child at completion in weeks
cf010	Age (wks) at 4 mth
cf010a	Age (days) at 4 mth
cf011	Age (wks) at 8 mth
cf012	Age (wks) at 12 mth
cf013	Age (wks) at 18 mth
cf014	Age (wks) at 25 mth
cf015	Age (wks) at 31 mth
cf016	Age (wks) at 37 mth
cf017	Age (wks) at 43 mth
cf018	Age (wks) at 49 mth
cf019	Age (wks) at 61 mth
cf020a	Month of 4 mth
cf021a	Month of 8 mth
cf022a	Month of 12 mth
cf023a	Month of 18 mth
cf024a	Month of 25 mth
cf025a	Month of 31 mth
cf026a	Month of 37 mth
cf027a	Month of 43 mth
cf028a	Month of 49 mth
cf029aa	Month of 61 mth (1)
cf029ab	Month of 61 mth (2)
cf020b	Year of 4 mth
cf021b	Year of 8 mth
cf022b	Year of 12 mth
cf023b	Year of 18 mth
cf024b	Year of 25 mth
cf025b	Year of 31 mth
cf026b	Year of 37 mth
cf027b	Year of 43 mth
cf028b	Year of 49 mth
cf029ba	Year of 61 mth (1)
cf029bb	Year of 61 mth (2)
cf030	Measurer at 4 mth
cf031	Measurer at 8 mth
cf032	Measurer at 12 mth
cf033	Measurer at 18 mth
cf034	Measurer at 25 mth
cf035	Measurer at 31 mth
cf036	Measurer at 37 mth
cf037	Measurer at 43 mth
cf038	Measurer at 49 mth
cf039	Measurer at 61 mth
cf040	Weight at 4 mth
cf041	Weight at 8 mth
cf041a	% increase in weight per week since last visit 8 mth
cf042	Weight at 12 mth
cf042a	% increase in weight per week since last visit 12 mth
cf043	Weight at 18 mth
cf043a	% increase in weight per week since last visit 18 mth
cf044	Weight at 25 mth
cf044a	% increase in weight per week since last visit 25 mth
cf045	Weight at 31 mth
cf045a	% increase in weight per week since last visit 31 mth
cf046	Weight at 37 mth
cf046a	% increase in weight per week since last visit 37 mth
cf047	Weight at 43 mth
cf047a	% increase in weight per week since last visit 43 mth
cf048	Weight at 49 mth
cf048a	% increase in weight per week since last visit 49 mth
cf049	Weight at 61 mth
cf049a	% increase in weight per week since last visit 61 mth
cf050	Length at 4 mth
cf051	Length at 8 mth
cf051a	% increase in length per week since last visit 8 mth
cf052	Length at 12 mth
cf052a	% increase in length per week since last visit 12 mth
